EmployerName,TotalWages,Year,Position
"University of California, Berkeley",7875.0,2021,Teachg Asst-Gship
"University of California, Davis",17554.0,2021,Teachg Asst-Gship
"University of California, Irvine",17554.0,2021,Teachg Asst-Gship
"University of California, Los Angeles",5959.0,2021,Teachg Asst-Gship
"University of California, Merced",22720.0,2021,Teachg Asst-Gship
"University of California, Riverside",20212.0,2021,Teachg Asst-Gship
"University of California, San Diego",15329.0,2021,Teachg Asst-Gship
"University of California, Santa Barbara",19127.0,2021,Teachg Asst-Gship
"University of California, Santa Cruz",20130.0,2021,Teachg Asst-Gship
"University of California, Berkeley",7182.0,2020,Teachg Asst-Gship
"University of California, Davis",17042.0,2020,Teachg Asst-Gship
"University of California, Irvine",17042.0,2020,Teachg Asst-Gship
"University of California, Los Angeles",9738.0,2020,Teachg Asst-Gship
"University of California, Merced",21159.0,2020,Teachg Asst-Gship
"University of California, Riverside",19623.0,2020,Teachg Asst-Gship
"University of California, San Diego",12459.5,2020,Teachg Asst-Gship
"University of California, Santa Barbara",17042.0,2020,Teachg Asst-Gship
"University of California, Santa Cruz",17042.0,2020,Teachg Asst-Gship
"University of California, Berkeley",14414.0,2019,Teachg Asst-Gship
"University of California, Davis",13142.0,2019,Teachg Asst-Gship
"University of California, Irvine",17862.5,2019,Teachg Asst-Gship
"University of California, Los Angeles",8731.5,2019,Teachg Asst-Gship
"University of California, Merced",14441.5,2019,Teachg Asst-Gship
"University of California, Riverside",17708.0,2019,Teachg Asst-Gship
"University of California, San Diego",14333.5,2019,Teachg Asst-Gship
"University of California, Santa Barbara",16446.0,2019,Teachg Asst-Gship
"University of California, Santa Cruz",19903.5,2019,Teachg Asst-Gship
"University of California, Berkeley",10326.0,2018,Teachg Asst-Gship
"University of California, Davis",16063.0,2018,Teachg Asst-Gship
"University of California, Irvine",16063.0,2018,Teachg Asst-Gship
"University of California, Los Angeles",5906.0,2018,Teachg Asst-Gship
"University of California, Merced",20891.0,2018,Teachg Asst-Gship
"University of California, Riverside",16819.0,2018,Teachg Asst-Gship
"University of California, San Diego",11165.0,2018,Teachg Asst-Gship
"University of California, Santa Barbara",12621.0,2018,Teachg Asst-Gship
"University of California, Santa Cruz",17024.0,2018,Teachg Asst-Gship
"University of California, Berkeley",10025.0,2017,Teachg Asst-Gship
"University of California, Davis",15595.0,2017,Teachg Asst-Gship
"University of California, Irvine",15082.0,2017,Teachg Asst-Gship
"University of California, Los Angeles",5165.0,2017,Teachg Asst-Gship
"University of California, Merced",20130.0,2017,Teachg Asst-Gship
"University of California, Riverside",15595.0,2017,Teachg Asst-Gship
"University of California, San Diego",11045.0,2017,Teachg Asst-Gship
"University of California, Santa Barbara",15214.0,2017,Teachg Asst-Gship
"University of California, Santa Cruz",17305.5,2017,Teachg Asst-Gship
"University of California, Berkeley",9640.0,2016,Teachg Asst-Gship
"University of California, Davis",14995.0,2016,Teachg Asst-Gship
"University of California, Irvine",14995.0,2016,Teachg Asst-Gship
"University of California, Los Angeles",5129.5,2016,Teachg Asst-Gship
"University of California, Merced",19227.5,2016,Teachg Asst-Gship
"University of California, Riverside",15175.0,2016,Teachg Asst-Gship
"University of California, San Diego",11011.0,2016,Teachg Asst-Gship
"University of California, Santa Barbara",14027.0,2016,Teachg Asst-Gship
