EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, Berkeley",9054.0,2021,Teachg Asst-Gship,1.0,3.0,0.0
"University of California, Davis",6111.0,2021,Teachg Asst-Gship,5.0,2.0,2.0
"University of California, Irvine",6129.0,2021,Teachg Asst-Gship,4.0,2.0,2.0
"University of California, Los Angeles",9669.0,2021,Teachg Asst-Gship,0.0,4.0,0.0
"University of California, Merced",4389.5,2021,Teachg Asst-Gship,8.0,0.0,4.0
"University of California, Riverside",5422.0,2021,Teachg Asst-Gship,6.0,0.0,3.0
"University of California, San Diego",6992.0,2021,Teachg Asst-Gship,3.0,3.0,1.0
"University of California, Santa Barbara",5666.0,2021,Teachg Asst-Gship,2.0,1.0,1.0
"University of California, Santa Cruz",5472.0,2021,Teachg Asst-Gship,7.0,1.0,3.0
"University of California, Berkeley",7612.0,2020,Teachg Asst-Gship,1.0,4.0,0.0
"University of California, Davis",4649.0,2020,Teachg Asst-Gship,5.0,1.0,2.0
"University of California, Irvine",4738.5,2020,Teachg Asst-Gship,3.0,1.0,1.0
"University of California, Los Angeles",6677.5,2020,Teachg Asst-Gship,0.0,3.0,0.0
"University of California, Merced",3732.0,2020,Teachg Asst-Gship,8.0,0.0,4.0
"University of California, Riverside",4073.5,2020,Teachg Asst-Gship,7.0,0.0,3.0
"University of California, San Diego",6009.5,2020,Teachg Asst-Gship,4.0,3.0,2.0
"University of California, Santa Barbara",4948.5,2020,Teachg Asst-Gship,2.0,2.0,1.0
"University of California, Santa Cruz",4979.5,2020,Teachg Asst-Gship,6.0,2.0,3.0
"University of California, Berkeley",7727.0,2019,Teachg Asst-Gship,1.0,2.0,0.0
"University of California, Davis",8245.0,2019,Teachg Asst-Gship,4.0,3.0,2.0
"University of California, Irvine",6288.0,2019,Teachg Asst-Gship,3.0,0.0,1.0
"University of California, Los Angeles",10098.0,2019,Teachg Asst-Gship,0.0,4.0,0.0
"University of California, Merced",7765.5,2019,Teachg Asst-Gship,8.0,2.0,4.0
"University of California, Riverside",6327.0,2019,Teachg Asst-Gship,7.0,1.0,3.0
"University of California, San Diego",7773.0,2019,Teachg Asst-Gship,5.0,3.0,2.0
"University of California, Santa Barbara",7162.0,2019,Teachg Asst-Gship,2.0,1.0,1.0
"University of California, Santa Cruz",5551.0,2019,Teachg Asst-Gship,6.0,0.0,3.0
"University of California, Berkeley",8050.0,2018,Teachg Asst-Gship,1.0,3.0,0.0
"University of California, Davis",5566.5,2018,Teachg Asst-Gship,5.0,1.0,2.0
"University of California, Irvine",5635.0,2018,Teachg Asst-Gship,4.0,2.0,2.0
"University of California, Los Angeles",10394.0,2018,Teachg Asst-Gship,0.0,4.0,0.0
"University of California, Merced",3826.5,2018,Teachg Asst-Gship,7.0,0.0,3.0
"University of California, Riverside",5265.0,2018,Teachg Asst-Gship,8.0,1.0,4.0
"University of California, San Diego",7674.0,2018,Teachg Asst-Gship,3.0,3.0,1.0
"University of California, Santa Barbara",7054.0,2018,Teachg Asst-Gship,2.0,2.0,1.0
"University of California, Santa Cruz",5220.0,2018,Teachg Asst-Gship,6.0,0.0,3.0
"University of California, Berkeley",7945.5,2017,Teachg Asst-Gship,0.0,3.0,0.0
